
SALA,Spezia,no
ZACCAGNI,Verona,si
FARES,Lazio,no
SILIGARDI,Crotone,no
CHIRICHES,Sassuolo,no
DEFREL,Sassuolo,no
PULGAR,Fiorentina,si
MILINKOVIC-SAVIC,Lazio,no
DZEKO,Roma,no
KALINIC,Verona,no
ALASTRA,Parma,no
ALEX SANDRO,Juventus,no
DONSAH,Bologna,no
PERISAN,Udinese,no
TOLOI,Atalanta,no
CUADRADO,Juventus,no
PERISIC,Inter,no
ANSALDI,Torino,no
PEREIRA P.,Crotone,no
AUDERO,Sampdoria,no
TUPTA,Verona,no
PEZZELLA GIU.,Parma,no
KRAGL,Benevento,no
CRISTANTE,Roma,no
IMMOBILE,Lazio,no
DJIMSITI,Atalanta,no
FREULER,Atalanta,no
SAMIR,Udinese,no
SKRINIAR,Inter,si
GAGLIARDINI,Inter,si
FAVILLI,Verona,no
ADJAPONG,Sassuolo,no
LOCATELLI,Sassuolo,no
EDERA,Torino,no
RADU I.,Inter,si
CALDARA,Atalanta,no
KESSIE',Milan,no
MOLINA S.,Crotone,no
SPINAZZOLA,Roma,no
BRUNO ALVES,Parma,no
CEPPITELLI,Cagliari,si
MURRU,Torino,no
PISACANE,Cagliari,no
BARELLA,Inter,no
DEIOLA,Spezia,no
JOAO PEDRO,Cagliari,no
PAJAC,Cagliari,no
FARIAS,Spezia,no
SAU,Benevento,no
CORDAZ,Crotone,no
FESTA,Crotone,no
CECCHERINI,Verona,no
FERRARI G.,Sassuolo,no
TELLO,Benevento,no
DRAGOWSKI,Fiorentina,no
ZIMA,Genoa,no
PINSOGLIO,Juventus,no
MANDRAGORA,Udinese,no
STRAKOSHA,Lazio,no
LAPADULA,Benevento,no
NESTOROVSKI,Udinese,no
ARESTI,Cagliari,no
MAZZOTTA,Crotone,no
CAPRARI,Benevento,no
SCHICK,Roma,no
SENSI,Inter,no
BARRECA,Fiorentina,no
PARIGINI,Genoa,no
JANKTO,Sampdoria,no
DJURICIC,Sassuolo,no
DE PAUL,Udinese,no
SIMY,Crotone,no
PJACA,Genoa,si
LUKAKU J.,Lazio,no
CHIESA,Juventus,no
LIROLA,Fiorentina,no
WALLACE,Lazio,no
LINETTY,Torino,no
LUKIC,Torino,no
MIGUEL VELOSO,Verona,no
MILIK,Napoli,no
RICCI F.,Sassuolo,no
FAZIO,Roma,no
PINAMONTI,Inter,no
SIMEONE,Cagliari,no
BASTOS,Lazio,no
CRISTOFORO,Fiorentina,no
ROG,Cagliari,no
PASALIC,Atalanta,no
BIRASCHI,Genoa,si
LUIS ALBERTO,Lazio,no
BERESZYNSKI,Sampdoria,si
KIYINE,Lazio,no
FARAGO',Cagliari,no
DEULOFEU,Udinese,no
BASTONI,Inter,no
MELEGONI,Genoa,si
ZAJC,Genoa,si
HATEBOER,Atalanta,no
SCAMACCA,Genoa,no
DEPAOLI,Atalanta,si
CUOMO,Crotone,no
COULIBALY,Udinese,no
VIGNATO,Bologna,no
CUTRONE,Fiorentina,si
GOSENS,Atalanta,no
CORNELIUS,Parma,no
MILENKOVIC,Fiorentina,no
BENTANCUR,Juventus,no
ORSOLINI,Bologna,no
MUSACCHIO,Milan,no
RODRIGUEZ R.,Torino,no
MILINKOVIC-SAVIC V.,Torino,no
LYANCO,Torino,no
BARAK,Verona,si
VENUTI,Fiorentina,no
CRAGNO,Cagliari,no
SIRIGU,Torino,no
KARSDORP,Roma,no
PALOMINO,Atalanta,no
MARUSIC,Lazio,no
BONIFAZI,Udinese,no
CALHANOGLU,Milan,no
OUNAS,Cagliari,no
GALABINOV,Spezia,no
CASTAGNE,Atalanta,no
DOUGLAS COSTA,Juventus,no
UNDER,Roma,no
BERENGUER,Torino,no
JAROSZYNSKI,Genoa,no
LUCAS LEIVA,Lazio,no
SILVESTRI,Verona,no
CASSATA,Genoa,si
KOLAROV,Inter,no
VERETOUT,Roma,no
DEL PINTO,Benevento,no
MARCHIZZA,Spezia,si
LAZZARI,Lazio,no
MORA,Spezia,no
SCHIATTARELLA,Benevento,no
NICOLAS,Udinese,no
ROMAGNA,Sassuolo,no
NUYTINCK,Udinese,no
CAICEDO,Lazio,no
BANI,Genoa,no
CROCIATA,Crotone,no
RAMIREZ,Sampdoria,no
N'KOULOU,Torino,no
DALBERT,Inter,no
MANCINI,Roma,no
ROSSI F.,Atalanta,no
BEHRAMI,Genoa,si
SALCEDO E.,Verona,no
PEZZELLA GER.,Fiorentina,si
STRYGER LARSEN,Udinese,no
ZANELLATO,Crotone,no
ROGERIO,Sassuolo,no
KARAMOH,Parma,no
STEPINSKI,Verona,no
LERIS,Sampdoria,no
LUIZ FELIPE,Lazio,no
MARLON,Sassuolo,no
CYPRIEN,Parma,no
PASTORE,Roma,no
RABIOT,Juventus,no
EKDAL,Sampdoria,si
